UF;H-2000-Total;H-2000-0 a 4 anos;H-2000-5 a 9 anos;H-2000-10 a 14 anos;H-2000-15 a 19 anos;H-2000-20 a 24 anos;H-2000-25 a 29 anos;H-2000-30 a 34 anos;H-2000-35 a 39 anos;H-2000-40 a 44 anos;H-2000-45 a 49 anos;H-2000-50 a 54 anos;H-2000-55 a 59 anos;H-2000-60 a 64 anos;H-2000-65 a 69 anos;H-2000-70 a 74 anos;H-2000-75 a 79 anos;H-2000-80 a 84 anos;H-2000-85 a 89 anos;H-2000-90 a 94 anos;H-2000-95 a 99 anos;H-2000-100 anos ou mais;M-2000-Total;M-2000-0 a 4 anos;M-2000-5 a 9 anos;M-2000-10 a 14 anos;M-2000-15 a 19 anos;M-2000-20 a 24 anos;M-2000-25 a 29 anos;M-2000-30 a 34 anos;M-2000-35 a 39 anos;M-2000-40 a 44 anos;M-2000-45 a 49 anos;M-2000-50 a 54 anos;M-2000-55 a 59 anos;M-2000-60 a 64 anos;M-2000-65 a 69 anos;M-2000-70 a 74 anos;M-2000-75 a 79 anos;M-2000-80 a 84 anos;M-2000-85 a 89 anos;M-2000-90 a 94 anos;M-2000-95 a 99 anos;M-2000-100 anos ou mais;H-2010-Total;H-2010-0 a 4 anos;H-2010-5 a 9 anos;H-2010-10 a 14 anos;H-2010-15 a 19 anos;H-2010-20 a 24 anos;H-2010-25 a 29 anos;H-2010-30 a 34 anos;H-2010-35 a 39 anos;H-2010-40 a 44 anos;H-2010-45 a 49 anos;H-2010-50 a 54 anos;H-2010-55 a 59 anos;H-2010-60 a 64 anos;H-2010-65 a 69 anos;H-2010-70 a 74 anos;H-2010-75 a 79 anos;H-2010-80 a 84 anos;H-2010-85 a 89 anos;H-2010-90 a 94 anos;H-2010-95 a 99 anos;H-2010-100 anos ou mais;M-2010-Total;M-2010-0 a 4 anos;M-2010-5 a 9 anos;M-2010-10 a 14 anos;M-2010-15 a 19 anos;M-2010-20 a 24 anos;M-2010-25 a 29 anos;M-2010-30 a 34 anos;M-2010-35 a 39 anos;M-2010-40 a 44 anos;M-2010-45 a 49 anos;M-2010-50 a 54 anos;M-2010-55 a 59 anos;M-2010-60 a 64 anos;M-2010-65 a 69 anos;M-2010-70 a 74 anos;M-2010-75 a 79 anos;M-2010-80 a 84 anos;M-2010-85 a 89 anos;M-2010-90 a 94 anos;M-2010-95 a 99 anos;M-2010-100 anos ou mais
Rondônia;708610;79298;81376;82068;79750;69184;58410;55583;50463;40249;30606;23864;17643;14993;10597;7253;4325;2017;730;121;64;16;672342;75407;78856;79285;77280;68220;59873;53555;46607;37163;28420;20717;15213;12207;7986;5573;3194;1678;664;198;112;133;795157;65352;71249;80115;78575;76229;73124;66306;58124;54223;47292;37645;28111;20520;14669;10453;6877;3813;1689;524;227;41;767252;62657;68194;76161;77219;74782;73261;66659;58622;51148;43496;34829;26270;18640;13667;9502;6236;3438;1737;542;162;29
Acre;280983;39022;35990;34473;33422;28187;21973;18819;15333;13061;10498;7974;6224;4902;4036;3196;1939;1029;699;134;35;38;276899;37779;35583;33507;33533;28326;22460;19080;15704;12825;10052;7787;6039;4682;3340;2687;1476;1016;710;213;29;72;368324;39534;42008;44447;38440;35188;33369;29128;23836;19940;15765;12752;10349;7732;5733;4107;2846;1796;858;359;119;17;365235;37958;40150;43260;38543;35147;34049;29977;23941;19988;15716;13208;10067;7342;6035;3872;2700;1679;826;460;219;99
Amazonas;1416191;195735;187618;170928;167067;144214;116531;96706;84397;67150;52303;37964;28333;22255;17423;12871;7831;4002;2206;432;159;64;1401061;192730;183829;167581;167031;145467;117598;94649;82246;65299;50079;36173;28193;23000;17718;12359;8035;4485;2719;1074;285;513;1753179;188167;195995;203418;182546;170242;161273;142710;116794;98058;80209;64117;47832;35546;24907;17698;11799;6812;3002;1478;468;108;1730806;183200;188287;197279;182215;169198;162253;143038;115961;93727;77188;61295;48812;35018;25659;18746;13293;8358;4083;2072;972;155
Roraima;166037;22235;21218;19876;18818;16054;13470;12377;10844;8841;6820;5097;3366;2585;1872;1137;790;336;243;30;-;27;158360;22111;20453;18971;18790;16315;13412;11571;10260;7863;5694;4027;2718;1998;1538;1107;769;379;256;44;26;58;228859;24152;25156;26510;23937;21679;21188;18432;14851;13013;11132;8631;7032;4789;3284;2319;1259;908;412;106;66;4;221620;23466;24026;25822;23025;21709;21721;18627;14801;12299;10298;7972;6218;4160;2854;1866;1242;878;401;173;30;32
Pará;3133987;395959;391720;382926;371706;312089;251886;214754;186098;155183;125900;96153;75408;60323;44454;31561;19637;10339;5673;1627;487;103;3061978;382387;375822;372874;364701;306549;249628;212873;180256;150228;119116;91464;73802;57623;45948;31745;20924;13929;7623;2698;1015;774;3821837;375769;397720;425692;397031;375522;352801;309932;259408;221218;179780;148141;117783;87937;68108;45938;29730;16824;7991;3257;964;294;3759214;361647;383611;410664;390372;373533;354521;307276;254986;213632;174191;144830;116531;85636;67172;49385;33134;19743;10309;5184;2317;540
Amapá;239453;34322;31295;29514;28171;24071;20638;17355;14468;11299;8446;5909;4542;3143;2520;1567;1096;521;373;163;28;13;237579;33398;30025;29271;29265;25339;20916;17131;13784;10661;7943;5363;4521;3197;2661;1845;845;594;481;221;62;57;335135;35450;37033;39842;36530;34067;31078;26992;23277;18794;14726;11863;8427;5647;4570;2947;1959;1094;356;218;171;94;334391;34598;35469;39262;36714;34442;32686;28205;23411;18421;14196;11057;8254;5426;4430;2828;2305;1193;775;369;197;156
Tocantins;591640;68339;68829;70419;68937;58052;46349;41323;36636;30174;25183;20146;16381;13826;10191;7328;4904;2781;1352;381;72;37;566050;65893;65980;68314;65948;56804;45281;41103;35094;28828;22860;17765;14998;12370;9086;6598;4268;2603;1434;499;200;125;702424;62025;67054;73781;70715;66423;62472;56758;48353;42901;36461;29687;24361;19429;14699;11307;7955;4592;2128;1005;234;83;681021;60716;63935;70463;68561;65462;62704;57698;47049;42076;34861;29127;22259;17375;13717;10178;6961;4318;1994;1117;328;123
Maranhão;2814490;351026;343121;370550;359321;276080;198883;170305;150907;127276;108397;88349;73083;63827;49527;34803;23967;15493;6715;2098;663;99;2843062;342366;338222;365778;350593;270286;205063;180525;161933;136862;113809;90097;78849;67071;50459;36147;24561;16601;8724;3253;1021;840;3261515;322910;343569;367682;342969;326801;293407;245775;197718;173463;147658;123486;103269;83281;67678;51424;33998;19453;10071;5283;1272;348;3313274;313617;329957;357650;339382;329327;301630;254663;205686;182567;157652;132832;113463;89314;69397;54534;36981;22508;12544;6583;2227;762
Piauí;1398395;153554;153406;176456;174571;136185;100848;90434;82524;70188;59132;50193;39917;35411;25697;21068;14387;8708;3900;1348;412;56;1445033;148247;149560;173389;170717;139567;107516;98578;90625;77193;65155;53885;44569;39502;30115;23101;15710;9953;4885;1687;731;347;1528422;126224;138837;157977;152138;148930;135131;120013;100098;90863;80829;67264;56666;47143;36157;29139;18358;12900;6465;2399;701;193;1589938;122169;133177;151454;149871;152956;140465;126611;106392;98826;88646;75969;65082;51940;41319;33291;23128;15821;8363;3110;1048;299
Ceará;3628485;408829;418512;436642;411331;335237;273281;253848;231925;177957;149326;130768;101655;91965;66024;57152;42637;23614;12582;4017;1127;55;3803113;394506;404384;430043;410139;347531;291368;275373;251232;201138;170330;146574;120266;109065;80298;69653;49495;27402;16253;5361;1635;1068;4120088;329246;354667;431182;425388;406469;364404;320119;277660;258887;228540;172439;144991;124147;93054;75849;48599;34153;20406;7345;2035;508;4332293;315455;341710;416282;421265;416392;378568;337976;298600;282238;250651;201189;168847;142333;113271;95052;64232;47805;25584;10274;3764;803
Rio Grande do Norte;1360003;141860;145098;158096;155086;129870;106743;101948;93068;70602;55323;50476;37824;33169;23189;22216;17152;10452;5691;1728;367;44;1417506;136668;140803;155428;153727;130893;112039;108139;99758;78025;62754;56485;45958;40396;28592;26267;19095;11942;6878;2506;758;394;1548887;120334;130533;149651;149873;155008;142876;124046;108557;103594;91273;68876;52604;47136;33996;27558;16632;13529;8238;3318;1018;236;1619140;115502;125350;143979;147365;154457;145247;129107;115149;111387;99905;78153;61760;56292;42251;34304;23266;18418;10912;4332;1563;444
Paraíba;1672451;171663;180197;196867;196505;159533;125926;115261;105176;83140;69774;61873;50767;44651;32923;29087;23496;14524;8251;2260;497;80;1772343;166789;175278;193107;192602;163788;134653;126817;114176;93606;81742;72876;62250;58358;40839;36431;27421;17939;9344;3017;994;314;1824379;148108;160086;177289;177707;171442;160331;144234;125367;115992;101963;80238;66186;58797;44764;36862;22885;16502;10296;3788;1306;237;1942149;143036;154067;171295;175151;174689;167015;153314;135280;127882;112429;91019;81309;71286;56293;48919;32393;23902;13815;6281;2269;505
Pernambuco;3831384;404354;407068;436759;442466;380763;309715;273694;246284;202100;164910;143756;110620;96307;70137;59951;41822;24164;11848;3484;1045;134;4097770;393754;397927;429324;438605;389475;333565;305178;277050;230618;197119;170812;136791;123468;93496;74076;49053;32061;16015;5900;2142;1341;4230681;345253;378382;423518;407321;402720;379007;345039;301392;271348;233884;189821;153700;128302;95894;73732;45511;31089;16445;6203;1801;319;4565767;332602;366540;411581;406078;414830;401078;372477;333467;305918;268189;225006;190539;159365;124321;99982;66360;46670;25120;10827;3529;1289
Alagoas;1381336;169254;163939;166212;165412;136735;105392;93700;81866;66844;56517;48017;35386;28905;21980;16742;11529;7218;4246;1029;340;75;1446519;166582;161541;166243;165253;140682;113356;102714;89847;74462;62522;50722;41291;35085;26934;19487;13276;8779;4852;1842;557;492;1511767;138341;152700;170849;156145;140410;131143;117927;99880;91157;76413;61408;51957;42436;30675;21360;13216;8272;4574;1972;848;85;1608727;134144;147599;167019;156806;149294;141271;128946;111709;102115;85210;71684;60200;46746;36506;26598;20648;11943;5804;3060;1128;299
Sergipe;874982;100083;98765;103229;102731;87629;71273;64648;55857;44664;35996;30145;22487;17510;13444;10042;7643;5124;2497;987;200;28;909847;96627;96118;101237;102121;89174;75538;69083;60467;47928;39721;32349;25987;21909;17321;13440;9439;6006;3131;1457;497;298;1005041;86246;91038;105915;101231;98894;91933;81659;70585;64859;54215;43158;33602;27010;19783;14287;9467;6145;3057;1404;459;92;1062976;82647;88069;102294;100857;101799;97490;88689;77912;71092;59923;48818;39093;32237;23889;18030;13309;8930;4536;2252;760;350
Bahia;6469282;669958;699390;756991;803120;661891;499473;449355;403888;344376;276323;231299;182681;152483;115150;91220;61832;39275;20688;7325;2077;489;6616487;650053;677249;738154;784122;652942;518217;473931;424803;362624;293134;248755;203310;175872;137662;108524;72183;49141;27961;11725;3750;2373;6878266;539406;606662;681776;667977;646448;642836;573233;478266;439256;378517;318190;251642;205355;158504;118810;77053;50767;26801;11786;3929;1052;7138640;522234;584494;657784;658343;657261;666365;598062;504427;464361;402448;347058;279851;230346;183109;143570;102759;70210;37724;18855;7096;2284
Minas Gerais;8856145;821222;855230;904983;946949;850149;707116;678048;654398;575293;467467;373817;289363;243806;189381;137837;85786;45276;21578;6574;1528;342;9048988;794930;827461;878342;922641;836592;718982;701168;683598;595452;490602;390403;316235;271911;221639;170704;109086;65745;35077;12237;3819;2366;9641877;650652;726204;857672;868508;873699;851150;790609;694189;671617;628523;546718;443363;338194;251541;193571;128613;75949;35168;11944;3325;667;9955453;626068;703425;829936;850598;859199;853042;806047;722023;701852;666332;583383;481438;376600;291382;234554;168676;111804;55613;24402;7186;1893
Espírito Santo;1534847;144983;146792;160328;166870;151663;125368;120190;115242;101557;82497;59711;44738;36578;30036;23086;12888;7506;3312;1163;291;49;1562650;139389;141849;155604;164572;151943;129401;124616;119976;104755;83904;62785;48646;42291;34535;25144;15795;9181;5524;1903;506;331;1731218;123689;134988;153541;151377;162771;160898;147670;126600;120075;110798;95917;77998;54175;39390;29695;20761;12569;5640;1977;497;191;1783734;120506;129919;148835;150145;160595;161730;151806;132299;125114;117041;102951;82830;60515;45379;36334;26168;17670;8801;3575;1146;375
Rio de Janeiro;6900312;621485;607865;608701;656804;641470;565858;538788;537396;487808;411413;333858;250453;208979;166709;127027;75665;37491;16472;4772;1092;206;7491794;599726;587639;594437;659306;659283;599408;584826;596937;549839;473989;386636;296462;261272;222852;179009;117170;68276;36498;12474;3711;2044;7625679;501053;555260;662982;638220;646474;665084;636959;567214;542878;515674;462078;374143;288447;206127;158569;103948;63866;25966;8654;1713;369;8364250;488145;537297;642128;632237;656053;699198;685276;623979;599988;586205;541720;450180;364374;271179;222078;165611;112761;56593;22047;6051;1149
São Paulo;18139662;1624340;1609739;1711367;1818299;1757561;1586356;1492537;1400341;1241035;1029776;815054;600306;490486;372658;285362;168755;84649;38084;10380;2178;401;18895793;1568795;1558657;1672321;1822191;1777787;1619596;1546067;1491253;1325256;1102352;879759;666508;564663;457255;372155;235306;134428;68541;22579;5492;4833;20077873;1363768;1457332;1688098;1667076;1835004;1880326;1740774;1549792;1444319;1307962;1143792;936455;703437;499598;373899;248819;147849;63976;20489;4352;756;21184326;1315139;1402706;1637460;1635481;1802155;1908524;1815007;1634719;1535515;1444434;1287100;1057440;834489;612586;477963;356284;246356;121529;43855;13599;1986
Paraná;4737080;452139;471818;475719;480519;435668;392100;380503;354867;300876;251034;203803;157929;130912;98693;72761;43356;21359;9888;2311;706;121;4827563;434313;452932;460622;469632;435577;403844;399455;376136;319379;266366;213880;166740;139669;109977;80209;50966;27565;14102;4097;1058;1043;5130994;363945;390791;463665;469660;451432;436501;410327;384292;372192;336816;284272;230574;181200;133918;99141;64529;36918;14782;4652;1009;378;5313532;349936;377268;445734;458368;449437;443710;425853;403014;394286;363771;311131;255397;200343;152758;116112;79810;50813;23554;9173;2605;458
Santa Catarina;2670173;242474;258902;267969;271784;240983;220656;222130;217459;182456;149709;115272;86133;67416;49837;36857;22305;11864;4411;1196;291;66;2687691;233052;249192;258441;263881;237701;220878;223756;220521;184231;151638;119757;88647;73870;60121;45243;28968;16553;7937;2264;559;482;3100360;207703;222904;264859;276388;287334;286393;256264;234284;230160;216501;177687;145572;106513;73386;51762;33071;18206;8174;2474;567;157;3148076;199203;213742;254699;269017;278273;280317;254869;236535;233944;225123;187634;152898;117127;83998;64026;45915;29544;14492;4991;1395;336
Rio Grande do Sul;4994734;436229;451443;464379;490536;430608;381613;385536;397348;358099;304959;249085;191155;154161;118392;86836;52151;26138;11701;3466;725;173;5193108;419225;435805;447564;475992;425776;386033;399134;416339;375587;322769;266715;210793;179391;150157;118649;79835;47911;24548;7770;2037;1076;5205057;327027;369223;438721;442471;437920;445119;398572;365784;368970;372972;334240;276069;216259;155659;113871;73921;43476;17592;5842;1122;227;5488872;315425;354559;422937;433131;433295;448403;409206;379016;391422;399909;360251;307810;247556;189156;149392;113702;75999;38988;14196;3895;627
Mato Grosso do Sul;1040024;103789;109370;110539;110294;97218;85519;80239;75973;63686;51889;40684;31823;26677;20307;14357;9079;4977;2596;754;210;41;1038046;100298;105830;106580;107908;97114;87960;83595;79642;65975;52444;40180;32363;26221;19329;14158;8543;5411;2843;1087;278;288;1219928;97492;101158;112951;114096;111249;108088;99182;89391;82858;75530;62223;50077;37371;28122;22460;13413;8304;3908;1500;441;112;1229096;93980;96671;109137;111895;108681;109166;101358;92154;85721;79169;64564;52639;39437;30141;22452;15297;9159;4675;2010;672;120
Mato Grosso;1287550;130108;136755;139731;138906;126578;112251;105528;96140;79128;61581;47900;35702;28506;19968;13767;7996;4404;1747;583;207;64;1217694;124677;131691;133862;133078;124000;110690;101526;90007;72512;55304;41221;31929;24705;17277;11563;6378;3910;2070;665;275;354;1549536;124202;130003;144175;144247;145608;144169;133981;119033;109083;95234;77117;58839;42598;32095;22473;13769;7760;3295;1369;380;105;1485586;119060;124197;137332;140069;140383;139957;131815;116394;104315;89376;72009;54108;39632;29571;21446;13155;7432;3194;1374;565;203
Goiás;2492724;246304;248062;252768;260896;249989;220563;205473;184119;152315;122925;98351;75446;61917;44556;32651;19141;10396;4756;1515;474;109;2511473;236444;239169;244238;260055;254253;229278;214510;192380;157984;125730;98342;76300;64102;46082;32068;20238;11266;5783;1863;753;639;2981627;222940;241589;270046;268598;279267;277343;262848;232721;211396;181500;147029;118309;89852;67271;50040;31279;17646;8037;2806;856;254;3022161;215463;231122;261246;264739;274766;279466;270132;240852;219706;190451;156284;125525;96618;70446;53972;35213;20730;9564;4267;1298;301
Distrito Federal;981356;102517;96131;95349;107724;110797;96115;85500;73024;57793;46990;36215;24786;20274;11758;8687;4405;1987;1032;202;52;18;1069790;99010;94757;95326;117613;123090;106639;95564;84148;67815;54909;41872;27969;22096;14963;10163;6711;3904;2195;630;232;185;1228880;96713;101468;110741;108445;120437;127346;118591;99711;88858;72557;57051;42633;29876;21279;16281;8757;4839;2165;963;113;57;1341280;92458;98619;108349;111733;125084;140292;133841;112636;98986;85117;67410;53071;40008;27441;20198;12887;7413;3782;1462;417;74
